train_acc,epoch,step,train_loss,lr-AdamW,val_loss,val_acc,test_acc,test_loss
0.6015625,55,9649,1.104943037033081,,,,,
0.5703125,55,9699,1.191245198249817,,,,,
0.62890625,55,9749,1.278056025505066,,,,,
0.58984375,55,9799,1.1395678520202637,,,,,
,55,9799,,,1.1936886310577393,0.573199987411499,,
,,9800,,0.0003,,,,
0.6328125,56,9849,1.0756181478500366,,,,,
0.625,56,9899,1.0884711742401123,,,,,
0.60546875,56,9949,1.1973440647125244,,,,,
,56,9974,,,1.129509449005127,0.5917999744415283,,
,,9975,,0.0003,,,,
0.58984375,57,9999,1.070444941520691,,,,,
0.6328125,57,10049,1.0911298990249634,,,,,
0.578125,57,10099,1.149910569190979,,,,,
0.6015625,57,10149,1.1068339347839355,,,,,
,57,10149,,,1.2016922235488892,0.5698000192642212,,
,,10150,,0.0003,,,,
0.6015625,58,10199,1.120950698852539,,,,,
0.59765625,58,10249,1.1762439012527466,,,,,
0.59375,58,10299,1.2237824201583862,,,,,
,58,10324,,,1.1516505479812622,0.592199981212616,,
,,10325,,0.0003,,,,
0.59375,59,10349,1.1429022550582886,,,,,
0.60546875,59,10399,1.0649596452713013,,,,,
0.5703125,59,10449,1.2036911249160767,,,,,
0.6328125,59,10499,1.04362154006958,,,,,
,59,10499,,,1.1100256443023682,0.6019999980926514,,
,,10500,,0.0003,,,,
0.61328125,60,10549,1.0367863178253174,,,,,
0.609375,60,10599,1.0974379777908325,,,,,
0.60546875,60,10649,1.0928784608840942,,,,,
,60,10674,,,1.2923967838287354,0.5388000011444092,,
,,10675,,0.0003,,,,
0.57421875,61,10699,1.2199523448944092,,,,,
0.63671875,61,10749,1.0145872831344604,,,,,
0.5625,61,10799,1.148899793624878,,,,,
0.60546875,61,10849,1.0501350164413452,,,,,
,61,10849,,,1.096159815788269,0.6032000184059143,,
,,10850,,0.0003,,,,
0.6171875,62,10899,1.0374772548675537,,,,,
0.65625,62,10949,1.0461015701293945,,,,,
0.65625,62,10999,1.0158655643463135,,,,,
,62,11024,,,1.0835720300674438,0.6128000020980835,,
,,11025,,0.0003,,,,
0.6484375,63,11049,0.9736767411231995,,,,,
0.5859375,63,11099,1.1470482349395752,,,,,
0.55078125,63,11149,1.295332670211792,,,,,
0.64453125,63,11199,1.0022931098937988,,,,,
,63,11199,,,1.103823184967041,0.6082000136375427,,
,,11200,,0.0003,,,,
0.52734375,64,11249,1.304971694946289,,,,,
0.5625,64,11299,1.248755693435669,,,,,
0.5703125,64,11349,1.2007064819335938,,,,,
,64,11374,,,1.085159420967102,0.6110000014305115,,
,,11375,,0.0003,,,,
0.60546875,65,11399,1.141981601715088,,,,,
0.58984375,65,11449,1.204553484916687,,,,,
0.57421875,65,11499,1.233717679977417,,,,,
0.6015625,65,11549,1.1331394910812378,,,,,
,65,11549,,,1.1042873859405518,0.6015999913215637,,
,,11550,,0.0003,,,,
0.65625,66,11599,1.016662359237671,,,,,
0.66015625,66,11649,0.95720374584198,,,,,
0.5625,66,11699,1.2027705907821655,,,,,
,66,11724,,,1.120734691619873,0.6011999845504761,,
,,11725,,0.0003,,,,
0.58984375,67,11749,1.208683729171753,,,,,
0.48828125,67,11799,1.3828964233398438,,,,,
0.5625,67,11849,1.3473196029663086,,,,,
0.54296875,67,11899,1.3075709342956543,,,,,
,67,11899,,,1.232873797416687,0.553600013256073,,
,,11900,,0.0003,,,,
0.59375,68,11949,1.104883074760437,,,,,
0.484375,68,11999,1.4268453121185303,,,,,
0.57421875,68,12049,1.209655523300171,,,,,
,68,12074,,,1.291750192642212,0.5440000295639038,,
,,12075,,0.0003,,,,
0.5625,69,12099,1.2664742469787598,,,,,
0.5625,69,12149,1.1661548614501953,,,,,
0.57421875,69,12199,1.1631933450698853,,,,,
0.640625,69,12249,1.0136191844940186,,,,,
,69,12249,,,1.117221713066101,0.5953999757766724,,
,,12250,,0.0003,,,,
0.6328125,70,12299,1.06607985496521,,,,,
0.57421875,70,12349,1.1737724542617798,,,,,
0.609375,70,12399,1.091912865638733,,,,,
,70,12424,,,1.1255422830581665,0.5979999899864197,,
,,12425,,0.0003,,,,
0.5390625,71,12449,1.1972702741622925,,,,,
0.6171875,71,12499,1.0392898321151733,,,,,
0.56640625,71,12549,1.130897879600525,,,,,
0.546875,71,12599,1.2064905166625977,,,,,
,71,12599,,,1.141116738319397,0.5885999798774719,,
,,12600,,0.0003,,,,
0.65234375,72,12649,1.0370604991912842,,,,,
0.59765625,72,12699,1.0236486196517944,,,,,
0.5703125,72,12749,1.2178860902786255,,,,,
,72,12774,,,1.0828038454055786,0.6150000095367432,,
,,12775,,0.0003,,,,
0.6015625,73,12799,1.1723854541778564,,,,,
0.59765625,73,12849,1.1798417568206787,,,,,
0.61328125,73,12899,1.0622161626815796,,,,,
0.66796875,73,12949,0.9269035458564758,,,,,
,73,12949,,,1.0515873432159424,0.6262000203132629,,
,,12950,,0.0003,,,,
0.62890625,74,12999,1.152734398841858,,,,,
0.56640625,74,13049,1.120856761932373,,,,,
0.64453125,74,13099,1.008019208908081,,,,,
,74,13124,,,1.0954426527023315,0.6060000061988831,,
,,13125,,0.0003,,,,
0.6171875,75,13149,1.1020770072937012,,,,,
0.5625,75,13199,1.1655017137527466,,,,,
0.5390625,75,13249,1.191793441772461,,,,,
0.5703125,75,13299,1.2186537981033325,,,,,
,75,13299,,,1.1312851905822754,0.5974000096321106,,
,,13300,,0.0003,,,,
0.6640625,76,13349,0.988294243812561,,,,,
0.42578125,76,13399,1.5124694108963013,,,,,
0.52734375,76,13449,1.301457405090332,,,,,
,76,13474,,,1.1944729089736938,0.5723999738693237,,
,,13475,,0.0003,,,,
0.55078125,77,13499,1.163515329360962,,,,,
0.6484375,77,13549,1.0197768211364746,,,,,
0.65234375,77,13599,1.0457128286361694,,,,,
0.5859375,77,13649,1.0588970184326172,,,,,
,77,13649,,,1.1369255781173706,0.5898000001907349,,
,,13650,,0.0003,,,,
0.578125,78,13699,1.2398362159729004,,,,,
0.58984375,78,13749,1.184442400932312,,,,,
0.55859375,78,13799,1.270752191543579,,,,,
,78,13824,,,1.164095401763916,0.5813999772071838,,
,,13825,,0.0003,,,,
0.5390625,79,13849,1.257239818572998,,,,,
0.48828125,79,13899,1.3827247619628906,,,,,
0.59375,79,13949,1.1770622730255127,,,,,
0.6328125,79,13999,1.0033397674560547,,,,,
,79,13999,,,1.1248900890350342,0.5978000164031982,,
,,14000,,0.0003,,,,
0.62109375,80,14049,1.1517688035964966,,,,,
0.5546875,80,14099,1.2302480936050415,,,,,
0.5078125,80,14149,1.3921761512756348,,,,,
,80,14174,,,1.4249181747436523,0.4803999960422516,,
,,14175,,0.0003,,,,
0.515625,81,14199,1.2772798538208008,,,,,
0.515625,81,14249,1.3616310358047485,,,,,
0.5234375,81,14299,1.3159207105636597,,,,,
0.6171875,81,14349,1.1312538385391235,,,,,
,81,14349,,,1.249802827835083,0.5460000038146973,,
,,14350,,0.0003,,,,
0.55078125,82,14399,1.2377679347991943,,,,,
0.5703125,82,14449,1.2161723375320435,,,,,
0.48828125,82,14499,1.3977699279785156,,,,,
,82,14524,,,1.2712658643722534,0.5410000085830688,,
,,14525,,0.0003,,,,
0.5546875,83,14549,1.2029335498809814,,,,,
0.515625,83,14599,1.2761552333831787,,,,,
0.484375,83,14649,1.44012451171875,,,,,
0.53125,83,14699,1.2596921920776367,,,,,
,83,14699,,,1.2459253072738647,0.5501999855041504,,
,,14700,,0.0003,,,,
0.5078125,84,14749,1.302962064743042,,,,,
0.55859375,84,14799,1.2700238227844238,,,,,
0.546875,84,14849,1.2011253833770752,,,,,
,84,14874,,,1.2003449201583862,0.5690000057220459,,
,,14875,,0.0003,,,,
0.51953125,85,14899,1.293276071548462,,,,,
0.56640625,85,14949,1.1687077283859253,,,,,
0.59375,85,14999,1.206951379776001,,,,,
0.59375,85,15049,1.162363052368164,,,,,
,85,15049,,,1.2238010168075562,0.5591999888420105,,
,,15050,,0.0003,,,,
0.5234375,86,15099,1.2125914096832275,,,,,
0.59765625,86,15149,1.21747624874115,,,,,
0.578125,86,15199,1.1544030904769897,,,,,
,86,15224,,,1.145813226699829,0.5916000008583069,,
,,15225,,0.0003,,,,
0.5703125,87,15249,1.0567255020141602,,,,,
0.53125,87,15299,1.360536813735962,,,,,
0.5546875,87,15349,1.1993305683135986,,,,,
0.5,87,15399,1.3488914966583252,,,,,
,87,15399,,,1.3651787042617798,0.5131999850273132,,
,,15400,,0.0003,,,,
0.57421875,88,15449,1.1342567205429077,,,,,
0.59375,88,15499,1.1500104665756226,,,,,
0.5390625,88,15549,1.2386951446533203,,,,,
,88,15574,,,1.204450249671936,0.5637999773025513,,
,,15575,,0.0003,,,,
0.640625,89,15599,1.0885775089263916,,,,,
0.59375,89,15649,1.1375482082366943,,,,,
0.5703125,89,15699,1.1762951612472534,,,,,
0.609375,89,15749,1.1019887924194336,,,,,
,89,15749,,,1.1068339347839355,0.6079999804496765,,
,,15750,,0.0003,,,,
0.640625,90,15799,1.0271010398864746,,,,,
0.5546875,90,15849,1.15467369556427,,,,,
0.578125,90,15899,1.1256183385849,,,,,
,90,15924,,,1.1040421724319458,0.6043999791145325,,
,,15925,,0.0003,,,,
